Index,Title,Year,Genre,Director,Writer,Actors,Language,Country,Awards,IMDB rating
112,Natpe Thunai,2019,"Comedy, Drama, Sport",Parthiban Desingu,"Devesh Jeyachandran, Sreekanth","Hiphop Tamizha Adhi, Anagha, Karu Palaniappan, Kousalya",Tamil,India,N/A,6.5
113,Ganesha Meendum Santhipom,2019,Drama,Ratheesh Erate,N/A,"Devika Nambiar, Oviya, Prithvi Rajan, Singampuli",Tamil,India,N/A,2.3
114,Kuppathu Raja,2019,"Comedy, Drama",Baba Bhaskar,Baba Bhaskar,"G.V. Prakash Kumar, Parthiban, Palak Lalwani, Poonam Bajwa",Tamil,India,N/A,5.7
115,Kudimagan,2019,Drama,Sathieshwaran,Sathieshwaran,"Jaikumar, Nanditha Jennifer, Sriram Parthasarathy, Arul Selvan",Tamil,India,N/A,N/A
116,Uriyadi 2,2019,"Action, Thriller",Vijay Kumar,Vijay Kumar,"Vijay Kumar, Vismaya, Sudhakar, Shankar Thas",Tamil,India,N/A,7.3
117,Gangs Of Madras,2019,Action,C.V. Kumar,N/A,"Daniel Balaji, Ashok Kumar Balakrishan, Kalaiarasan Harikrishnan, Harish",Tamil,India,N/A,6.1
118,Rocky: The Revenge,2019,Drama,K.C. Bokadia,K.C. Bokadia,N/A,Tamil,India,N/A,N/A
119,Watchman,2019,Thriller,"Doug Coleman, A.L. Vijay",A.L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun",Tamil,India,N/A,5.2
120,Zhagaram,2019,"Adventure, Thriller",Krish,"Kava Kamz, Krish","Eden Kuriakosse, Nandha",Tamil,India,N/A,6.4
121,Kanchana 3,2019,"Action, Comedy, Horror",Lawrence Raghavendra,Lawrence Raghavendra,"Lawrence Raghavendra, Oviya, Vedika, Nikki Tamboli","Tamil, Telugu, Kannada",India,N/A,4.2
122,Mehandi Circus,2019,Drama,Raju Saravanan,Raju Murugan,"Shweta Tripathi, Ankur Vikal",Tamil,India,N/A,7.5
123,Vellai Pookal,2019,N/A,Vivek Elangovan,"Shanmuga Bharathi, Vivek Elangovan","Larnell Baxter, Leah Carrell, Leah Marie Carrell, Gabrielle Castronover","English, Tamil",USA,N/A,8.6
124,Alagarum Rendu Allakaium,2019,N/A,K. Thambidurai,K. Thambidurai,"K. Thambidurai, Deepa",N/A,N/A,N/A,N/A
125,Mudivilla Punnagai,2019,Romance,Arokiasamy Clement,Arokiasamy Clement,"Arokiasamy Clement, Rakshita, Nellai Siva",Tamil,India,N/A,N/A
126,Devarattam,2019,"Action, Drama",M. Muthaiah,M. Muthaiah,"Gautham Karthik, Manjima Mohan, Soori, Fefsi Vijayan",Tamil,India,N/A,4
127,K-13,2019,"Action, Drama, Mystery, Thriller",Barath Neelakantan,Barath Neelakantan,"Arulnithi, Shraddha Srinath, Adhik Ravichandran, Vijay Kumar Rajendran",Tamil,India,N/A,6
128,Thanimai,2019,Drama,S. Sivaraman,N/A,"Sonia Agarwal, 'Ganja' Karuppu",Tamil,India,N/A,N/A
129,Thanthai Sol Mikka Manthiram Illai,2019,Drama,"Sivabala Krishnan, Sivabalakrishnan",N/A,"Sivabala Krishnan, Micheal Prabhu, Arun Ramasamy, Priyanka Dharini",Tamil,India,N/A,N/A
130,Enge Sendrai En Uyire,2019,N/A,R.V. Pandi,N/A,"Tharun, Rabiya, Ananya",N/A,N/A,N/A,N/A
131,Kee,2019,"Action, Thriller",Kalees,Kalees,"Jiiva, Nikki Galrani, Anaika Soti, Govind Padmasoorya",Tamil,India,N/A,5.1
132,Unmaiyen Velicham,2019,N/A,P.K. Sivakumar,N/A,"Nizhalgal Ravi, Kirthi Krishna, Vijay Aathik",Tamil,India,N/A,N/A
133,Vedhamanavan,2019,Drama,Pughazhendi,Pughazhendi,"Benjamin, Delhi Ganesh, Mano Jeyanth, Urvashi Joshi",Tamil,India,N/A,N/A
